"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2020年06月22日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","","A1101","","A110101","","A110102","","A1301","","A130101","","A130102","","A1302","","A130201","","A130202","","A1303","","A130301","","A130302",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈","A110101_総人口（男）【人】","注釈","A110102_総人口（女）【人】","注釈","A1301_15歳未満人口【人】","注釈","A130101_15歳未満人口（男）【人】","注釈","A130102_15歳未満人口（女）【人】","注釈","A1302_15～64歳人口【人】","注釈","A130201_15～64歳人口（男）【人】","注釈","A130202_15～64歳人口（女）【人】","注釈","A1303_65歳以上人口【人】","注釈","A130301_65歳以上人口（男）【人】","注釈","A130302_65歳以上人口（女）【人】","注釈"
"2015100000","2015年度","01395","北海道 ニセコ町","","4,958","","2,512","","2,446","","652","","356","","296","","2,893","","1,518","","1,375","","1,322","","583","","739",""
"2015100000","2015年度","01396","北海道 真狩村","","2,103","","1,037","","1,066","","239","","119","","120","","1,165","","633","","532","","698","","284","","414",""
"2015100000","2015年度","01397","北海道 留寿都村","","1,907","","951","","956","","243","","126","","117","","1,202","","629","","573","","462","","196","","266",""
"2015100000","2015年度","01398","北海道 喜茂別町","","2,294","","1,171","","1,123","","207","","109","","98","","1,204","","658","","546","","866","","391","","475",""
"2015100000","2015年度","01399","北海道 京極町","","3,187","","1,553","","1,634","","388","","210","","178","","1,645","","853","","792","","1,144","","485","","659",""
"2015100000","2015年度","01400","北海道 倶知安町","","15,018","","7,538","","7,480","","2,125","","1,055","","1,070","","9,097","","4,832","","4,265","","3,708","","1,580","","2,128",""
"2015100000","2015年度","01401","北海道 共和町","","6,224","","3,243","","2,981","","721","","347","","374","","3,670","","2,100","","1,570","","1,824","","787","","1,037",""
"2015100000","2015年度","01402","北海道 岩内町","","13,042","","6,174","","6,868","","1,367","","697","","670","","7,241","","3,718","","3,523","","4,408","","1,739","","2,669",""
"2015100000","2015年度","01403","北海道 泊村","","1,771","","888","","883","","195","","111","","84","","951","","555","","396","","625","","222","","403",""
"2015100000","2015年度","01404","北海道 神恵内村","","1,004","","462","","542","","78","","34","","44","","468","","258","","210","","458","","170","","288",""
"2015100000","2015年度","01405","北海道 積丹町","","2,115","","1,004","","1,111","","191","","101","","90","","996","","509","","487","","926","","394","","532",""
"2015100000","2015年度","01406","北海道 古平町","","3,188","","1,518","","1,670","","253","","132","","121","","1,641","","866","","775","","1,294","","520","","774",""
"2015100000","2015年度","01407","北海道 仁木町","","3,498","","1,625","","1,873","","351","","180","","171","","1,847","","892","","955","","1,300","","553","","747",""
